Subject,Block,CategoryNumber,ITI,Trial,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,Prime,cond_TrueFalse,TF,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi_cen,Fam_tipi,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
11,3,3,1500,25,2,1,2,2050,4.666666667,6.034482759,Boots,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,4.666666667,-0.48642878,1.726325521,6.03,0.747641601,2.976808337,-1.326709404,1.65,-0.656803014,5.492,66,17,14,0.84,female
11,3,1,2000,26,1,1,1,1286,5.666666667,3.137931034,Asparagus,Vegetable,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,5.666666667,0.252291045,-0.772053512,3.14,-0.886744055,1.342422681,2.358311215,5.38,-1.796664467,4.966,66,17,14,0.84,female
11,3,4,1500,27,2,1,2,1440,5.333333333,3.344827586,Tractor,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,5.333333333,0.006051103,-0.599155309,3.34,-0.168468896,2.06069784,0.263875904,3.26,0.203510668,5.889,66,17,14,0.84,female
11,3,2,2000,29,1,1,1,1521,5.166666667,2.827586207,Spear,Weapon,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,5.166666667,-0.117068868,-1.040045727,2.83,0.479254164,2.7084209,1.380249442,4.39,-1.547455214,5.081,66,17,14,0.84,female
11,3,3,3000,30,2,1,2,1378,4.416666667,4.965517241,Scarf,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,4.416666667,-0.671108736,0.809965045,4.97,-0.125363015,2.103803721,-0.170818218,2.82,-0.169219693,5.717,66,17,14,0.84,female
11,3,4,2500,31,1,1,1,2872,5.708333333,2.517241379,Whisk,Kitchent Utensil,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,5.708333333,0.283071037,-1.308037941,2.52,-0.009058648,2.220108088,0.323152375,3.32,0.112495115,5.847,66,17,14,0.84,female
11,3,3,2000,32,2,1,2,1498,4.875,4.517241379,Leotards,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,4.875,-0.332528817,0.420944088,4.52,-0.29974781,1.929418926,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,1,1500,33,1,1,1,1400,4.75,4.689655172,Bean,Vegetable,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,4.75,-0.424868795,0.567907561,4.69,0.239180594,2.46834733,-0.28937116,2.7,-0.656803014,5.492,66,17,14,0.84,female
11,3,1,3000,34,1,1,1,1704,4.125,2.724137931,Pepper spray,Weapon,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,4.125,-0.886568685,-1.135139738,2.72,-2.229166736,NA,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,4,1500,36,1,1,1,1187,4.833333333,3,Ostrich,Birds,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,4.833333333,-0.36330881,-0.893082254,3,-0.451015486,1.77815125,0.382428846,3.38,1.280528049,6.386,66,17,14,0.84,female
11,3,1,3000,37,2,1,2,1811,5.608695652,2.724137931,Cougar,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,5.608695652,0.209466707,-1.135139738,2.72,-0.41625338,1.812913357,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,1,2500,38,2,1,2,1813,5.458333333,3.482758621,Camel,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,5.458333333,0.098391081,-0.478126567,3.48,0.06529949,2.294466226,-0.279491748,2.71,0.667256582,6.103,66,17,14,0.84,female
11,3,3,2000,39,2,1,2,1246,3.5,3.068965517,Shawl,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,3.5,-1.348268576,-0.832567883,3.07,-0.710652796,1.51851394,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,4,2500,40,1,1,1,1876,6.375,5.344827586,Mixing bowl,Kitchent Utensil,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.375,0.77555092,1.12982672,5.34,0.109289757,2.338456494,-0.66478881,2.32,1.295697307,6.393,66,17,14,0.84,female
11,3,4,2500,41,1,1,1,1369,4.166666667,4.172413793,Parsley,Vegetable,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,4.166666667,-0.855788692,0.118372233,4.17,0.249399759,2.478566496,0.827002379,3.83,0.181840298,5.879,66,17,14,0.84,female
11,3,2,2500,42,2,1,2,1173,6.291666667,3.793103448,Raspberry,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.291666667,0.713990935,-0.210134352,3.79,-0.265378909,1.963787827,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,3,1500,43,1,1,1,1102,5.083333333,3.413793103,Funnel,Kitchent Utensil,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,5.083333333,-0.178628853,-0.538640938,3.41,-0.566408904,1.662757832,-0.091782923,2.9,-1.447771513,5.127,66,17,14,0.84,female
11,3,3,3000,44,1,1,1,1195,5.166666667,2.344827586,Pelican,Birds,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,5.166666667,-0.117068868,-1.463646324,2.34,-0.752045481,1.477121255,1.854461211,4.87,-1.579960769,5.066,66,17,14,0.84,female
11,3,1,1500,45,2,1,2,3537,3.958333333,3.275862069,Bat,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,3.958333333,-1.009688656,-0.65102477,3.28,0.063089335,2.292256071,0.431825905,3.43,0.301027332,5.934,66,17,14,0.84,female
11,3,4,2500,46,2,1,2,1607,4.208333333,3.24137931,Tricycle,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,4.208333333,-0.8250087,-0.685604411,3.24,-0.627106745,1.602059991,-1.020447637,1.96,0.181840298,5.879,66,17,14,0.84,female
11,3,1,2000,47,2,1,2,3898,6.375,4.275862069,Horse,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,6.375,0.77555092,0.213466245,4.28,0.991725513,3.220892249,-1.277312345,1.7,0.743102877,6.138,66,17,14,0.84,female
11,3,4,2500,48,1,1,1,1816,6.25,6.413793103,Knife,Weapon,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.25,0.683210942,2.054832106,6.41,0.948658236,3.177824972,-1.020447637,1.96,0.515563994,6.033,66,17,14,0.84,female
11,3,4,3000,49,2,1,2,1740,4.416666667,3.24137931,Yatch,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,4.416666667,-0.671108736,-0.685604411,3.24,0.047295068,2.276461804,2.249637685,5.27,0.552403622,6.05,66,17,14,0.84,female
11,3,1,2000,50,1,1,1,1271,5.541666667,3.034482759,Kettle,Kitchent Utensil,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,5.541666667,0.159951067,-0.867147524,3.03,-0.326076749,1.903089987,1.2616965,4.27,-0.622130422,5.508,66,17,14,0.84,female
11,3,2,2000,51,1,1,1,2356,5.1,2.034482759,Pie pan,Kitchent Utensil,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,5.1,-0.166316856,-1.731638538,2.03,-2.229166736,NA,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
